grammar,div,model,ppl-10-epochs
010000,3,lstm,23.5
011001,3,lstm,23.08
111000,0,transformer,26.53
111101,4,transformer,25.89
010010,3,transformer,27.22
111011,2,transformer,25.33
110110,0,lstm,23.66
011011,1,lstm,22.39
110011,1,transformer,24.98
000111,0,lstm,23.02
010010,4,lstm,23.13
010110,2,transformer,26.26
000101,1,transformer,24.57
101101,1,lstm,23.05
001010,1,lstm,22.61
100110,1,transformer,21.65
011001,4,transformer,23.77
010000,4,transformer,25.93
111101,3,lstm,23.94
001101,1,transformer,25.31
100101,1,lstm,22.65
100110,2,lstm,22.47
100111,0,transformer,22.73
100010,4,transformer,22.47
101001,4,lstm,23.23
100000,4,lstm,22.4
000110,1,lstm,22.25
101010,1,transformer,23.66
011000,0,lstm,22.74
000011,4,lstm,22.8
100000,3,transformer,22.7
101001,3,transformer,25.41
010011,1,lstm,22.89
111011,1,transformer,24.89
010110,0,transformer,26.93
000111,2,lstm,22.87
011000,1,lstm,22.35
111010,2,transformer,26.47
000001,4,transformer,24.77
101111,3,lstm,23.6
001010,2,lstm,22.92
110101,2,lstm,23.29
010011,0,lstm,23.35
001100,4,lstm,22.79
111011,0,transformer,25.6
000101,2,transformer,25.07
010110,1,transformer,26.38
001101,0,transformer,25.73
001100,3,transformer,24.83
100011,2,transformer,22.81
011011,2,lstm,22.61
100101,0,lstm,23.16
100111,1,transformer,22.29
000110,0,lstm,22.57
000001,3,lstm,23.39
101010,0,transformer,24.07
101111,4,transformer,23.35
100101,3,transformer,23.74
111100,0,transformer,26.55
010100,0,lstm,23.19
001011,4,lstm,23.1
011101,1,lstm,22.45
101010,3,lstm,23.46
001111,2,lstm,23.08
110001,0,lstm,23.43
011110,0,transformer,24.92
111111,2,transformer,25.22
101001,1,lstm,23.07
100000,1,lstm,22.15
101111,0,transformer,23.92
101010,4,transformer,23.76
010001,2,transformer,25.46
101110,2,lstm,22.89
100101,4,lstm,22.86
001011,3,transformer,25.67
100100,2,transformer,22.24
100010,1,transformer,21.82
100000,0,lstm,22.54
101001,0,lstm,23.55
000100,3,transformer,23.63
101101,2,transformer,24.38
101111,1,transformer,23.46
100010,0,transformer,22.7
100111,4,transformer,22.37
001110,3,lstm,23.39
111100,1,transformer,25.81
010100,1,lstm,22.81
100111,3,lstm,23.09
000010,2,lstm,22.5
001110,4,transformer,24.54
000000,2,transformer,23.74
011101,0,lstm,22.83
000100,4,lstm,22.33
110000,2,lstm,23.13
110001,1,lstm,23.05
011110,1,transformer,24.57
101000,4,transformer,23.85
101001,2,lstm,23.17
100000,2,lstm,22.45
100001,1,lstm,22.68
101100,1,transformer,23.71
100110,4,lstm,22.48
000111,3,transformer,25.3
100010,2,transformer,22.09
100110,3,transformer,22.74
010010,0,lstm,23.36
000111,4,lstm,22.99
000011,2,lstm,22.86
010000,0,transformer,26.46
011001,0,transformer,24.25
011111,1,lstm,22.46
100011,3,lstm,23.07
001100,2,lstm,22.89
110101,4,lstm,23.26
000101,4,transformer,24.83
011011,3,transformer,24.1
010010,1,lstm,23.04
011001,1,transformer,23.75
010000,1,transformer,25.86
000001,2,transformer,25.3
111010,4,transformer,27.03
011111,0,lstm,22.8
001010,4,lstm,22.96
100011,1,transformer,22.6
100001,0,lstm,23.16
111010,3,lstm,23.63
001010,3,transformer,25.18
101111,2,transformer,23.63
101100,0,transformer,24.43
100011,4,transformer,22.7
110101,3,transformer,26.4
000101,3,lstm,23.26
011011,4,lstm,22.58
010001,3,lstm,23.59
011010,0,lstm,22.83
111111,4,transformer,25.22
101110,3,transformer,24.05
011100,3,transformer,24.98
010101,0,transformer,26.18
100100,3,lstm,22.69
001011,2,lstm,23.06
010111,1,lstm,22.94
011100,4,lstm,22.43
100101,2,lstm,22.98
101011,0,transformer,24.39
100100,4,transformer,22.72
101110,1,lstm,22.8
100100,1,transformer,21.82
010001,4,transformer,25.28
001111,3,transformer,25.56
101010,2,transformer,23.59
111111,3,lstm,23.83
101110,4,lstm,22.95
101011,1,transformer,23.86
000010,3,transformer,24.02
100111,2,transformer,22.52
101110,0,lstm,23.13
000000,3,lstm,22.69
001001,3,lstm,23.58
100100,0,transformer,22.59
101101,4,transformer,23.96
001001,4,transformer,25.26
000000,4,transformer,23.26
110000,4,lstm,23.16
101101,3,lstm,23.72
000100,2,lstm,22.36
011010,1,lstm,22.36
010101,1,transformer,24.99
010111,0,lstm,23.41
000010,4,lstm,22.41
001110,2,transformer,24.39
111010,1,transformer,26.18
011101,3,transformer,24.48
110001,4,lstm,23.32
110110,2,lstm,23.4
110111,0,transformer,25.58
111100,4,transformer,25.91
110101,1,lstm,23.18
001110,0,transformer,25.03
111100,3,lstm,23.49
010111,2,lstm,23.06
001011,1,lstm,22.89
011101,4,lstm,22.7
110001,3,transformer,26.39
001110,1,transformer,24.13
001011,0,lstm,23.37
010100,4,lstm,23.01
101100,4,transformer,23.5
010101,2,transformer,25.4
011110,4,transformer,24.6
100001,4,lstm,22.85
110111,3,lstm,23.55
011010,2,lstm,22.54
000100,1,lstm,22.09
011110,3,lstm,23.04
100001,3,transformer,23.78
111010,0,transformer,27.15
110111,4,transformer,25.22
110111,1,transformer,24.98
010100,3,transformer,26.65
110011,2,transformer,25.51
101100,3,lstm,23.28
110101,0,lstm,23.58
110010,3,lstm,24.13
011111,2,lstm,22.74
000001,0,transformer,25.07
000110,3,transformer,24.14
000011,1,lstm,22.66
111001,3,transformer,26.35
101011,4,transformer,23.59
001100,0,lstm,22.96
010011,4,lstm,22.96
001101,3,lstm,23.61
110010,1,transformer,26.4
111001,4,lstm,23.48
101011,3,lstm,23.47
010011,3,transformer,25.88
110100,2,transformer,26.44
001101,4,transformer,25.2
111111,0,transformer,25.8
110010,4,transformer,26.5
